1667098453.384179, 	 reno wscale:8,9 rto:396 rtt:192.583/6.431 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:287 ssthresh:163 bytes_sent:952784 bytes_retrans:20272 bytes_acked:459017 segs_out:660 segs_in:128 data_segs_out:658 send 17.3Mbps lastsnd:4 lastrcv:444 lastack:4 pacing_rate 23.6Mbps delivery_rate 9.6Mbps delivered:345 busy:444ms unacked:327 retrans:14/14 lost:27 sacked:27 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.397609, 	 reno wscale:8,9 rto:396 rtt:193.845/4.651 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:273 ssthresh:163 bytes_sent:958576 bytes_retrans:26064 bytes_acked:459017 segs_out:664 segs_in:131 data_segs_out:662 send 16.3Mbps lastsnd:4 lastrcv:456 lastack:4 pacing_rate 23.4Mbps delivery_rate 9.5Mbps delivered:354 busy:456ms unacked:327 retrans:18/18 lost:36 sacked:36 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.411000, 	 reno wscale:8,9 rto:396 rtt:194.791/2.722 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:255 ssthresh:163 bytes_sent:967264 bytes_retrans:34752 bytes_acked:459017 segs_out:670 segs_in:135 data_segs_out:668 send 15.2Mbps lastrcv:468 pacing_rate 23.3Mbps delivery_rate 9.6Mbps delivered:366 busy:468ms unacked:327 retrans:24/24 lost:48 sacked:48 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.424494, 	 reno wscale:8,9 rto:396 rtt:195.383/1.572 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:237 ssthresh:163 bytes_sent:975952 bytes_retrans:43440 bytes_acked:459017 segs_out:676 segs_in:139 data_segs_out:674 send 14.1Mbps lastsnd:4 lastrcv:484 lastack:4 pacing_rate 23.3Mbps delivery_rate 9.6Mbps delivered:378 busy:484ms unacked:327 retrans:30/30 lost:60 sacked:60 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.440773, 	 reno wscale:8,9 rto:396 rtt:195.713/0.933 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:219 ssthresh:163 bytes_sent:984640 bytes_retrans:52128 bytes_acked:459017 segs_out:682 segs_in:143 data_segs_out:680 send 13.0Mbps lastsnd:4 lastrcv:500 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:390 busy:500ms unacked:327 retrans:36/36 lost:72 sacked:72 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.454326, 	 reno wscale:8,9 rto:396 rtt:195.957/0.606 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:201 ssthresh:163 bytes_sent:993328 bytes_retrans:60816 bytes_acked:459017 segs_out:688 segs_in:147 data_segs_out:686 send 11.9Mbps lastrcv:512 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:402 busy:512ms unacked:327 retrans:42/42 lost:84 sacked:84 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.467854, 	 reno wscale:8,9 rto:400 rtt:196.066/0.394 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:183 ssthresh:163 bytes_sent:1002016 bytes_retrans:69504 bytes_acked:459017 segs_out:694 segs_in:151 data_segs_out:692 send 10.8Mbps lastrcv:524 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:414 busy:524ms unacked:327 retrans:48/48 lost:96 sacked:96 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.481240, 	 reno wscale:8,9 rto:400 rtt:196.181/0.348 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:170 ssthresh:163 bytes_sent:1009256 bytes_retrans:76744 bytes_acked:459017 segs_out:699 segs_in:154 data_segs_out:697 send 10.0Mbps lastsnd:4 lastrcv:540 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:423 busy:540ms unacked:327 retrans:53/53 lost:105 sacked:105 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.494797, 	 reno wscale:8,9 rto:400 rtt:196.215/0.232 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:156 ssthresh:163 bytes_sent:1023736 bytes_retrans:91224 bytes_acked:459017 segs_out:709 segs_in:158 data_segs_out:707 send 9.2Mbps lastrcv:552 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:435 busy:552ms unacked:327 retrans:63/63 lost:117 sacked:117 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
1667098453.508315, 	 reno wscale:8,9 rto:400 rtt:196.274/0.199 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:144 ssthresh:163 bytes_sent:1041112 bytes_retrans:108600 bytes_acked:459017 segs_out:721 segs_in:162 data_segs_out:719 send 8.5Mbps lastsnd:4 lastrcv:568 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:447 busy:568ms unacked:327 retrans:75/75 lost:129 sacked:129 rcv_space:14480 rcv_ssthresh:42242 notsent:1529088 minrtt:20.388
